Date and Ship To Address	Item Number	Pick Type	Each per pallet	Each per case	Sum of Total quantity requested for order	Pallet Picks	Case Picks	Each Picks
04/18/2022 address 6	532173	SBO	880	10	1	0	0	1
04/18/2022 address 6	534278	SBO	3000	50	1	0	0	1
04/18/2022 address 6	538341	SLP	20	0	28	1	0	8
04/18/2022 address 2	506608	SBO	11200	100	348	0	3	48
04/18/2022 address 2	508012	SBO	6000	100	33	0	0	33
04/18/2022 address 2	510088	SBO	2560	80	84	0	1	4
04/18/2022 address 2	511171	SRL	360	12	124	0	10	4
04/18/2022 address 2	513473	SBO	4800	200	33	0	0	33
04/18/2022 address 2	514902	SBO	14400	100	33	0	0	33
04/18/2022 address 2	518636	SBO	4000	100	164	0	1	64
04/18/2022 address 2	519111	SBO	40320	2240	264	0	0	264
04/18/2022 address 2	529027	SPN	108	0	6	0	0	6
04/18/2022 address 2	530205	SLP	23	0	9	0	0	9
04/18/2022 address 2	532173	SBO	880	10	15	0	1	5
04/18/2022 address 2	534278	SBO	3000	50	15	0	0	15
04/18/2022 address 2	538341	SLP	20	0	174	8	0	14
04/19/2022 address 8	506608	SBO	11200	100	120	0	1	20
04/19/2022 address 8	508012	SBO	6000	100	12	0	0	12
04/19/2022 address 8	510088	SBO	2560	80	36	0	0	36
04/19/2022 address 8	511171	SRL	360	12	42	0	3	6
04/19/2022 address 8	513473	SBO	4800	200	12	0	0	12
04/19/2022 address 8	514902	SBO	14400	100	12	0	0	12
04/19/2022 address 8	516990	SBO	2160	80	3	0	0	3
04/19/2022 address 8	518636	SBO	4000	100	60	0	0	60
04/19/2022 address 8	519111	SBO	40320	2240	96	0	0	96
04/19/2022 address 8	529027	SPN	108	0	1	0	0	1
04/19/2022 address 8	532173	SBO	880	10	3	0	0	3
04/19/2022 address 8	538342	SLP	20	0	61	3	0	1
04/19/2022 address 3	506608	SBO	11200	100	560	0	5	60
04/19/2022 address 3	508012	SBO	6000	100	50	0	0	50
04/19/2022 address 3	510088	SBO	2560	80	120	0	1	40
04/19/2022 address 3	511171	SRL	360	12	200	0	16	8
04/19/2022 address 3	513473	SBO	4800	200	50	0	0	50
04/19/2022 address 3	514902	SBO	14400	100	50	0	0	50
04/19/2022 address 3	518636	SBO	4000	100	240	0	2	40
04/19/2022 address 3	519111	SBO	40320	2240	400	0	0	400
04/19/2022 address 3	531573	SBO	4	0	2	0	0	2
04/19/2022 address 3	538341	SLP	20	0	300	15	0	0
04/19/2022 address 1	506608	SBO	11200	100	248	0	2	48
04/19/2022 address 1	508012	SBO	6000	100	14	0	0	14
04/19/2022 address 1	510088	SBO	2560	80	96	0	1	16
04/19/2022 address 1	511171	SRL	360	12	130	0	10	10
04/19/2022 address 1	513473	SBO	4800	200	14	0	0	14
04/19/2022 address 1	514902	SBO	14400	100	14	0	0	14
04/19/2022 address 1	518636	SBO	4000	100	156	0	1	56
04/19/2022 address 1	519111	SBO	40320	2240	264	0	0	264
04/19/2022 address 1	531539	SBO	54000	300	175	0	0	175
04/19/2022 address 1	531967	SFS	230400	300	390	0	1	90
04/19/2022 address 1	532173	SBO	880	10	11	0	1	1
04/19/2022 address 1	534278	SBO	3000	50	11	0	0	11
04/19/2022 address 1	539727	SLP	20	0	130	6	0	10
04/19/2022 address 1	544319	SBO	1728	24	504	0	21	0
04/19/2022 address 2	506608	SBO	11200	100	152	0	1	52
04/19/2022 address 2	508012	SBO	6000	100	14	0	0	14
04/19/2022 address 2	510088	SBO	2560	80	36	0	0	36
04/19/2022 address 2	511171	SRL	360	12	54	0	4	6
04/19/2022 address 2	513473	SBO	4800	200	14	0	0	14
04/19/2022 address 2	514902	SBO	14400	100	14	0	0	14
04/19/2022 address 2	518636	SBO	4000	100	68	0	0	68
04/19/2022 address 2	519111	SBO	40320	2240	112	0	0	112
04/19/2022 address 2	529027	SPN	108	0	10	0	0	10
04/19/2022 address 2	531539	SBO	54000	300	500	0	1	200
04/19/2022 address 2	531575	SBO	450	15	5	0	0	5
04/19/2022 address 2	531578	SBO	1120	10	5	0	0	5
04/19/2022 address 2	531702	SBO	450	15	5	0	0	5
04/19/2022 address 2	532173	SBO	880	10	14	0	1	4
04/19/2022 address 2	532458	SBO	4	0	1	0	0	1
04/19/2022 address 2	534278	SBO	3000	50	14	0	0	14
04/19/2022 address 2	538341	SLP	20	0	80	4	0	0
04/20/2022 address 10	506608	SBO	11200	100	76	0	0	76
04/20/2022 address 10	508012	SBO	6000	100	8	0	0	8
04/20/2022 address 10	510088	SBO	2560	80	20	0	0	20
04/20/2022 address 10	511171	SRL	360	12	28	0	2	4
04/20/2022 address 10	513473	SBO	4800	200	8	0	0	8
04/20/2022 address 10	514902	SBO	14400	100	8	0	0	8
04/20/2022 address 10	518636	SBO	4000	100	40	0	0	40
04/20/2022 address 10	519111	SBO	40320	2240	64	0	0	64
04/20/2022 address 10	538341	SLP	20	0	21	1	0	1
04/20/2022 address 8	506608	SBO	11200	100	116	0	1	16
04/20/2022 address 8	508012	SBO	6000	100	11	0	0	11
04/20/2022 address 8	510088	SBO	2560	80	32	0	0	32
04/20/2022 address 8	511171	SRL	360	12	42	0	3	6
04/20/2022 address 8	513473	SBO	4800	200	11	0	0	11
04/20/2022 address 8	514902	SBO	14400	100	11	0	0	11
04/20/2022 address 8	518636	SBO	4000	100	56	0	0	56
04/20/2022 address 8	519111	SBO	40320	2240	88	0	0	88
04/20/2022 address 8	530184	SLP	20	0	60	3	0	0
04/20/2022 address 8	532173	SBO	880	10	2	0	0	2
04/20/2022 address 8	534278	SBO	3000	50	2	0	0	2
04/20/2022 address 1	506608	SBO	11200	100	164	0	1	64
04/20/2022 address 1	508012	SBO	6000	100	8	0	0	8
04/20/2022 address 1	510088	SBO	2560	80	60	0	0	60
04/20/2022 address 1	511171	SRL	360	12	75	0	6	3
04/20/2022 address 1	513473	SBO	4800	200	9	0	0	9
04/20/2022 address 1	514902	SBO	14400	100	8	0	0	8
04/20/2022 address 1	518636	SBO	4000	100	96	0	0	96
04/20/2022 address 1	519111	SBO	40320	2240	176	0	0	176
04/20/2022 address 1	531539	SBO	54000	300	106	0	0	106
04/20/2022 address 1	531967	SFS	230400	300	237	0	0	237
04/20/2022 address 1	532173	SBO	880	10	8	0	0	8
04/20/2022 address 1	534278	SBO	3000	50	8	0	0	8
04/20/2022 address 1	538341	SLP	20	0	6	0	0	6
04/20/2022 address 1	539727	SLP	20	0	79	3	0	19
04/20/2022 address 1	544319	SBO	1728	24	168	0	7	0
04/21/2022 address 12	535703	SGL	720	0	100	0	0	100
04/21/2022 address 8	506608	SBO	11200	100	72	0	0	72
04/21/2022 address 8	508012	SBO	6000	100	7	0	0	7
04/21/2022 address 8	510088	SBO	2560	80	16	0	0	16
04/21/2022 address 8	511171	SRL	360	12	26	0	2	2
04/21/2022 address 8	513473	SBO	4800	200	7	0	0	7
04/21/2022 address 8	514902	SBO	14400	100	7	0	0	7
04/21/2022 address 8	516990	SBO	2160	80	1	0	0	1
04/21/2022 address 8	518636	SBO	4000	100	36	0	0	36
04/21/2022 address 8	519111	SBO	40320	2240	56	0	0	56
04/21/2022 address 8	532173	SBO	880	10	1	0	0	1
04/21/2022 address 3	506608	SBO	11200	100	152	0	1	52
04/21/2022 address 3	508012	SBO	6000	100	14	0	0	14
04/21/2022 address 3	510088	SBO	2560	80	36	0	0	36
04/21/2022 address 3	511171	SRL	360	12	54	0	4	6
04/21/2022 address 3	513473	SBO	4800	200	14	0	0	14
04/21/2022 address 3	514902	SBO	14400	100	14	0	0	14
04/21/2022 address 3	518636	SBO	4000	100	72	0	0	72
04/21/2022 address 3	519111	SBO	40320	2240	112	0	0	112
04/21/2022 address 3	529027	SPN	108	0	2	0	0	2
04/21/2022 address 3	532173	SBO	880	10	2	0	0	2
04/21/2022 address 3	534278	SBO	3000	50	2	0	0	2
04/21/2022 address 3	538341	SLP	20	0	80	4	0	0
04/22/2022 address 8	506608	SBO	11200	100	40	0	0	40
04/22/2022 address 8	508012	SBO	6000	100	4	0	0	4
04/22/2022 address 8	510088	SBO	2560	80	12	0	0	12
04/22/2022 address 8	511171	SRL	360	12	14	0	1	2
04/22/2022 address 8	513473	SBO	4800	200	4	0	0	4
04/22/2022 address 8	514902	SBO	14400	100	4	0	0	4
04/22/2022 address 8	518636	SBO	4000	100	20	0	0	20
04/22/2022 address 8	519111	SBO	40320	2240	32	0	0	32
04/22/2022 address 8	530184	SLP	20	0	20	1	0	0
04/22/2022 address 8	532173	SBO	880	10	1	0	0	1
04/22/2022 address 8	534278	SBO	3000	50	1	0	0	1
04/22/2022 address 11	506608	SBO	11200	100	44	0	0	44
04/22/2022 address 11	508012	SBO	6000	100	4	0	0	4
04/22/2022 address 11	510088	SBO	2560	80	12	0	0	12
04/22/2022 address 11	511171	SRL	360	12	16	0	1	4
04/22/2022 address 11	513473	SBO	4800	200	4	0	0	4
04/22/2022 address 11	514902	SBO	14400	100	4	0	0	4
04/22/2022 address 11	518636	SBO	4000	100	20	0	0	20
04/22/2022 address 11	519111	SBO	40320	2240	32	0	0	32
04/22/2022 address 11	530184	SLP	20	0	23	1	0	3
04/22/2022 address 11	532173	SBO	880	10	1	0	0	1
04/22/2022 address 11	534278	SBO	3000	50	1	0	0	1
04/22/2022 address 1	524949	SLP	23	0	1	0	0	1
04/22/2022 address 6	506608	SBO	11200	100	48	0	0	48
04/22/2022 address 6	508012	SBO	6000	100	5	0	0	5
04/22/2022 address 6	510088	SBO	2560	80	12	0	0	12
04/22/2022 address 6	511171	SRL	360	12	18	0	1	6
04/22/2022 address 6	513473	SBO	4800	200	5	0	0	5
04/22/2022 address 6	514902	SBO	14400	100	5	0	0	5
04/22/2022 address 6	518636	SBO	4000	100	24	0	0	24
04/22/2022 address 6	519111	SBO	40320	2240	40	0	0	40
04/22/2022 address 6	532173	SBO	880	10	1	0	0	1
04/22/2022 address 6	534278	SBO	3000	50	1	0	0	1
04/25/2022 address 10	538341	SLP	20	0	17	0	0	17
04/25/2022 address 8	506608	SBO	11200	100	224	0	2	24
04/25/2022 address 8	508012	SBO	6000	100	21	0	0	21
04/25/2022 address 8	510088	SBO	2560	80	56	0	0	56
04/25/2022 address 8	511171	SRL	360	12	82	0	6	10
04/25/2022 address 8	513473	SBO	4800	200	21	0	0	21
04/25/2022 address 8	514902	SBO	14400	100	21	0	0	21
04/25/2022 address 8	516990	SBO	2160	80	3	0	0	3
04/25/2022 address 8	518636	SBO	4000	100	116	0	1	16
04/25/2022 address 8	519111	SBO	40320	2240	168	0	0	168
04/25/2022 address 8	530206	SLP	23	0	16	0	0	16
04/25/2022 address 8	532173	SBO	880	10	4	0	0	4
04/25/2022 address 8	534278	SBO	3000	50	1	0	0	1
04/25/2022 address 7	506608	SBO	11200	100	56	0	0	56
04/25/2022 address 7	508012	SBO	6000	100	5	0	0	5
04/25/2022 address 7	510088	SBO	2560	80	12	0	0	12
04/25/2022 address 7	511171	SRL	360	12	20	0	1	8
04/25/2022 address 7	513473	SBO	4800	200	5	0	0	5
04/25/2022 address 7	514902	SBO	14400	100	5	0	0	5
04/25/2022 address 7	518636	SBO	4000	100	24	0	0	24
04/25/2022 address 7	519111	SBO	40320	2240	40	0	0	40
04/25/2022 address 7	530206	SLP	23	0	28	1	0	5
04/25/2022 address 7	532173	SBO	880	10	1	0	0	1
04/25/2022 address 7	534278	SBO	3000	50	1	0	0	1
04/25/2022 address 6	538341	SLP	20	0	3	0	0	3
04/26/2022 address 8	506608	SBO	11200	100	76	0	0	76
04/26/2022 address 8	508012	SBO	6000	100	7	0	0	7
04/26/2022 address 8	510088	SBO	2560	80	20	0	0	20
04/26/2022 address 8	511171	SRL	360	12	28	0	2	4
04/26/2022 address 8	513473	SBO	4800	200	7	0	0	7
04/26/2022 address 8	514902	SBO	14400	100	7	0	0	7
04/26/2022 address 8	516990	SBO	2160	80	1	0	0	1
04/26/2022 address 8	518636	SBO	4000	100	40	0	0	40
04/26/2022 address 8	519111	SBO	40320	2240	56	0	0	56
04/26/2022 address 8	530184	SLP	20	0	24	1	0	4
04/26/2022 address 8	532173	SBO	880	10	2	0	0	2
04/26/2022 address 8	534278	SBO	3000	50	1	0	0	1
04/26/2022 address 8	542928	SRL	3	0	1	0	0	1
04/26/2022 address 2	506608	SBO	11200	100	32	0	0	32
04/26/2022 address 2	508012	SBO	6000	100	3	0	0	3
04/26/2022 address 2	510088	SBO	2560	80	8	0	0	8
04/26/2022 address 2	511171	SRL	360	12	12	0	1	0
04/26/2022 address 2	513473	SBO	4800	200	3	0	0	3
04/26/2022 address 2	514902	SBO	14400	100	3	0	0	3
04/26/2022 address 2	518636	SBO	4000	100	20	0	0	20
04/26/2022 address 2	519111	SBO	40320	2240	24	0	0	24
04/26/2022 address 2	526451	SLC	40	0	90	2	0	10
04/26/2022 address 2	532173	SBO	880	10	1	0	0	1
04/26/2022 address 2	534278	SBO	3000	50	1	0	0	1
04/26/2022 address 2	535468	SGL	24	1	1	0	1	0
04/26/2022 address 2	535795	SBO	54	3	3	0	1	0
04/26/2022 address 2	538349	SLP	25	0	18	0	0	18
04/26/2022 address 2	538799	SBO	108	3	2	0	0	2
04/26/2022 address 2	539727	SLP	20	0	18	0	0	18
04/27/2022 address 14	513473	SBO	4800	200	6	0	0	6
04/27/2022 address 14	531868	SRL	396	6	6	0	1	0
04/27/2022 address 14	532296	SBO	8640	180	36	0	0	36
04/27/2022 address 14	532850	SFS	1600	100	1	0	0	1
04/27/2022 address 3	506608	SBO	11200	100	104	0	1	4
04/27/2022 address 3	508012	SBO	6000	100	10	0	0	10
04/27/2022 address 3	510088	SBO	2560	80	24	0	0	24
04/27/2022 address 3	511171	SRL	360	12	38	0	3	2
04/27/2022 address 3	513473	SBO	4800	200	10	0	0	10
04/27/2022 address 3	514902	SBO	14400	100	10	0	0	10
04/27/2022 address 3	518636	SBO	4000	100	48	0	0	48
04/27/2022 address 3	519111	SBO	40320	2240	80	0	0	80
04/27/2022 address 3	529027	SPN	108	0	1	0	0	1
04/27/2022 address 3	530184	SLP	20	0	57	2	0	17
04/27/2022 address 3	532173	SBO	880	10	1	0	0	1
04/27/2022 address 3	534278	SBO	3000	50	1	0	0	1
04/27/2022 address 3	534983	SLB	8	0	4	0	0	4
04/27/2022 address 3	536630	SRL	3	0	1	0	0	1
04/27/2022 address 3	536631	SRL	2	0	1	0	0	1
04/27/2022 address 3	537682	SSN	10	0	1	0	0	1
04/27/2022 address 1	506608	SBO	11200	100	20	0	0	20
04/27/2022 address 1	508012	SBO	6000	100	2	0	0	2
04/27/2022 address 1	510088	SBO	2560	80	8	0	0	8
04/27/2022 address 1	511171	SRL	360	12	8	0	0	8
04/27/2022 address 1	513473	SBO	4800	200	2	0	0	2
04/27/2022 address 1	514902	SBO	14400	100	2	0	0	2
04/27/2022 address 1	518636	SBO	4000	100	12	0	0	12
04/27/2022 address 1	519111	SBO	40320	2240	16	0	0	16
04/27/2022 address 1	532173	SBO	880	10	1	0	0	1
04/27/2022 address 1	534278	SBO	3000	50	1	0	0	1
04/27/2022 address 1	538350	SLP	25	0	13	0	0	13
04/27/2022 address 1	540742	SLP	25	0	1	0	0	1
04/27/2022 address 2	506608	SBO	11200	100	60	0	0	60
04/27/2022 address 2	508012	SBO	6000	100	6	0	0	6
04/27/2022 address 2	510088	SBO	2560	80	16	0	0	16
04/27/2022 address 2	511171	SRL	360	12	22	0	1	10
04/27/2022 address 2	513473	SBO	4800	200	6	0	0	6
04/27/2022 address 2	514902	SBO	14400	100	6	0	0	6
04/27/2022 address 2	518636	SBO	4000	100	36	0	0	36
04/27/2022 address 2	519111	SBO	40320	2240	48	0	0	48
04/27/2022 address 2	532173	SBO	880	10	2	0	0	2
04/27/2022 address 2	534278	SBO	3000	50	2	0	0	2
04/27/2022 address 2	536202	SLP	23	0	14	0	0	14
04/27/2022 address 2	539727	SLP	20	0	16	0	0	16
04/28/2022 address 9	506608	SBO	11200	100	72	0	0	72
04/28/2022 address 9	508012	SBO	6000	100	7	0	0	7
04/28/2022 address 9	510088	SBO	2560	80	16	0	0	16
04/28/2022 address 9	511171	SRL	360	12	26	0	2	2
04/28/2022 address 9	513473	SBO	4800	200	7	0	0	7
04/28/2022 address 9	514902	SBO	14400	100	7	0	0	7
04/28/2022 address 9	518636	SBO	4000	100	36	0	0	36
04/28/2022 address 9	519111	SBO	40320	2240	56	0	0	56
04/28/2022 address 9	529027	SPN	108	0	1	0	0	1
04/28/2022 address 9	530184	SLP	20	0	37	1	0	17
04/28/2022 address 9	532173	SBO	880	10	1	0	0	1
04/28/2022 address 9	534278	SBO	3000	50	1	0	0	1
04/28/2022 address 8	506608	SBO	11200	100	436	0	4	36
04/28/2022 address 8	508012	SBO	6000	100	40	0	0	40
04/28/2022 address 8	510088	SBO	2560	80	112	0	1	32
04/28/2022 address 8	511171	SRL	360	12	156	0	13	0
04/28/2022 address 8	513473	SBO	4800	200	40	0	0	40
04/28/2022 address 8	514902	SBO	14400	100	40	0	0	40
04/28/2022 address 8	516990	SBO	2160	80	7	0	0	7
04/28/2022 address 8	518636	SBO	4000	100	204	0	2	4
04/28/2022 address 8	519111	SBO	40320	2240	320	0	0	320
04/28/2022 address 8	530206	SLP	23	0	19	0	0	19
04/28/2022 address 8	532173	SBO	880	10	8	0	0	8
04/28/2022 address 8	534278	SBO	3000	50	1	0	0	1
04/28/2022 address 1	506608	SBO	11200	100	540	0	5	40
04/28/2022 address 1	508012	SBO	6000	100	32	0	0	32
04/28/2022 address 1	510088	SBO	2560	80	224	0	2	64
04/28/2022 address 1	511171	SRL	360	12	267	0	22	3
04/28/2022 address 1	513473	SBO	4800	200	29	0	0	29
04/28/2022 address 1	514902	SBO	14400	100	32	0	0	32
04/28/2022 address 1	518636	SBO	4000	100	328	0	3	28
04/28/2022 address 1	519111	SBO	40320	2240	544	0	0	544
04/28/2022 address 1	529027	SPN	108	0	3	0	0	3
04/28/2022 address 1	531539	SBO	54000	300	373	0	1	73
04/28/2022 address 1	531967	SFS	230400	300	828	0	2	228
04/28/2022 address 1	532173	SBO	880	10	25	0	2	5
04/28/2022 address 1	534278	SBO	3000	50	25	0	0	25
04/28/2022 address 1	539727	SLP	20	0	276	13	0	16
04/28/2022 address 1	544319	SBO	1728	24	888	0	37	0
04/28/2022 address 2	506608	SBO	11200	100	32	0	0	32
04/28/2022 address 2	508012	SBO	6000	100	3	0	0	3
04/28/2022 address 2	510088	SBO	2560	80	8	0	0	8
04/28/2022 address 2	511171	SRL	360	12	12	0	1	0
04/28/2022 address 2	513473	SBO	4800	200	3	0	0	3
04/28/2022 address 2	514902	SBO	14400	100	3	0	0	3
04/28/2022 address 2	518636	SBO	4000	100	20	0	0	20
04/28/2022 address 2	519111	SBO	40320	2240	24	0	0	24
04/28/2022 address 2	532173	SBO	880	10	1	0	0	1
04/28/2022 address 2	534278	SBO	3000	50	1	0	0	1
04/28/2022 address 2	539727	SLP	20	0	18	0	0	18
04/29/2022 address 9	506608	SBO	11200	100	44	0	0	44
04/29/2022 address 9	508012	SBO	6000	100	4	0	0	4
04/29/2022 address 9	510088	SBO	2560	80	12	0	0	12
04/29/2022 address 9	511171	SRL	360	12	16	0	1	4
04/29/2022 address 9	513473	SBO	4800	200	4	0	0	4
04/29/2022 address 9	514902	SBO	14400	100	4	0	0	4
04/29/2022 address 9	518636	SBO	4000	100	20	0	0	20
04/29/2022 address 9	519111	SBO	40320	2240	32	0	0	32
04/29/2022 address 9	529027	SPN	108	0	1	0	0	1
04/29/2022 address 9	530184	SLP	20	0	22	1	0	2
04/29/2022 address 9	532173	SBO	880	10	1	0	0	1
04/29/2022 address 9	534278	SBO	3000	50	1	0	0	1
04/29/2022 address 3	506608	SBO	11200	100	56	0	0	56
04/29/2022 address 3	508012	SBO	6000	100	5	0	0	5
04/29/2022 address 3	510088	SBO	2560	80	12	0	0	12
04/29/2022 address 3	511171	SRL	360	12	20	0	1	8
04/29/2022 address 3	513473	SBO	4800	200	5	0	0	5
04/29/2022 address 3	514902	SBO	14400	100	5	0	0	5
04/29/2022 address 3	518636	SBO	4000	100	24	0	0	24
04/29/2022 address 3	519111	SBO	40320	2240	40	0	0	40
04/29/2022 address 3	544581	SLP	20	0	28	1	0	8
04/29/2022 address 6	506608	SBO	11200	100	48	0	0	48
04/29/2022 address 6	508012	SBO	6000	100	5	0	0	5
04/29/2022 address 6	510088	SBO	2560	80	12	0	0	12
04/29/2022 address 6	511171	SRL	360	12	18	0	1	6
04/29/2022 address 6	513473	SBO	4800	200	5	0	0	5
04/29/2022 address 6	514902	SBO	14400	100	5	0	0	5
04/29/2022 address 6	518636	SBO	4000	100	24	0	0	24
04/29/2022 address 6	519111	SBO	40320	2240	40	0	0	40
04/29/2022 address 6	529027	SPN	108	0	1	0	0	1
04/29/2022 address 6	530184	SLP	20	0	26	1	0	6
04/29/2022 address 6	532173	SBO	880	10	1	0	0	1
04/29/2022 address 6	534278	SBO	3000	50	1	0	0	1
04/29/2022 address 6	544581	SLP	20	0	26	1	0	6
04/30/2022 address 15	512200	SFS	64800	4320	1260	0	0	1260
04/30/2022 address 15	529027	SPN	108	0	1	0	0	1
04/30/2022 address 15	530037	SLC	25	0	800	32	0	0
04/30/2022 address 15	531916	SFS	400000	25000	1600	0	0	1600
04/30/2022 address 15	532622	SSN	1	0	2	2	0	0
04/30/2022 address 15	532623	SSN	1	0	3	3	0	0
04/30/2022 address 15	535702	SGL	500	0	1112	2	0	112
04/30/2022 address 15	535703	SGL	720	0	1642	2	0	202
04/30/2022 address 15	535704	SBO	4800	200	1112	0	5	112
04/30/2022 address 15	535705	SBO	21600	600	1112	0	1	512
04/30/2022 address 15	535707	SFS	240000	2500	4509	0	1	2009
04/30/2022 address 15	535709	SGL	1000	0	1306	1	0	306
04/30/2022 address 15	535832	SBO	100	0	2	0	0	2
04/30/2022 address 15	536182	SBO	224	0	57	0	0	57
04/30/2022 address 15	537346	SBO	50	0	3	0	0	3
04/30/2022 address 15	537919	SSN	175	0	800	4	0	100
04/30/2022 address 15	538117	SBO	200	10	80	0	8	0
04/30/2022 address 15	543820	SBO	72	0	6	0	0	6
05/02/2022 address 8	506608	SBO	11200	100	320	0	3	20
05/02/2022 address 8	508012	SBO	6000	100	30	0	0	30
05/02/2022 address 8	510088	SBO	2560	80	76	0	0	76
05/02/2022 address 8	511171	SRL	360	12	116	0	9	8
05/02/2022 address 8	513473	SBO	4800	200	30	0	0	30
05/02/2022 address 8	514902	SBO	14400	100	30	0	0	30
05/02/2022 address 8	516990	SBO	2160	80	5	0	0	5
05/02/2022 address 8	518636	SBO	4000	100	164	0	1	64
05/02/2022 address 8	519111	SBO	40320	2240	240	0	0	240
05/02/2022 address 8	532173	SBO	880	10	5	0	0	5
05/02/2022 address 8	534983	SLB	8	0	2	0	0	2
05/02/2022 address 8	537682	SSN	10	0	1	0	0	1
05/02/2022 address 8	538342	SLP	20	0	6	0	0	6
05/02/2022 address 7	506608	SBO	11200	100	200	0	2	0
05/02/2022 address 7	508012	SBO	6000	100	19	0	0	19
05/02/2022 address 7	510088	SBO	2560	80	52	0	0	52
05/02/2022 address 7	511171	SRL	360	12	72	0	6	0
05/02/2022 address 7	513473	SBO	4800	200	19	0	0	19
05/02/2022 address 7	514902	SBO	14400	100	19	0	0	19
05/02/2022 address 7	516990	SBO	2160	80	3	0	0	3
05/02/2022 address 7	518636	SBO	4000	100	96	0	0	96
05/02/2022 address 7	519111	SBO	40320	2240	152	0	0	152
05/02/2022 address 7	530184	SLP	20	0	39	1	0	19
05/02/2022 address 7	532173	SBO	880	10	4	0	0	4
05/02/2022 address 7	534278	SBO	3000	50	1	0	0	1
05/02/2022 address 5	506608	SBO	11200	100	40	0	0	40
05/02/2022 address 5	508012	SBO	6000	100	4	0	0	4
05/02/2022 address 5	510088	SBO	2560	80	12	0	0	12
05/02/2022 address 5	511171	SRL	360	12	14	0	1	2
05/02/2022 address 5	513473	SBO	4800	200	4	0	0	4
05/02/2022 address 5	514902	SBO	14400	100	4	0	0	4
05/02/2022 address 5	518636	SBO	4000	100	20	0	0	20
05/02/2022 address 5	519111	SBO	40320	2240	32	0	0	32
05/02/2022 address 5	530206	SLP	23	0	21	0	0	21
05/02/2022 address 5	532173	SBO	880	10	1	0	0	1
05/02/2022 address 5	534278	SBO	3000	50	1	0	0	1
05/02/2022 address 1	506608	SBO	11200	100	32	0	0	32
05/02/2022 address 1	508012	SBO	6000	100	2	0	0	2
05/02/2022 address 1	510088	SBO	2560	80	16	0	0	16
05/02/2022 address 1	511171	SRL	360	12	16	0	1	4
05/02/2022 address 1	513473	SBO	4800	200	2	0	0	2
05/02/2022 address 1	514902	SBO	14400	100	2	0	0	2
05/02/2022 address 1	518636	SBO	4000	100	24	0	0	24
05/02/2022 address 1	519111	SBO	40320	2240	32	0	0	32
05/02/2022 address 1	531539	SBO	54000	300	22	0	0	22
05/02/2022 address 1	531967	SFS	230400	300	48	0	0	48
05/02/2022 address 1	532173	SBO	880	10	2	0	0	2
05/02/2022 address 1	534278	SBO	3000	50	2	0	0	2
05/02/2022 address 1	539727	SLP	20	0	16	0	0	16
05/02/2022 address 1	544319	SBO	1728	24	48	0	2	0
05/03/2022 address 15	532623	SSN	1	0	1	1	0	0
05/03/2022 address 15	537346	SBO	50	0	1	0	0	1
05/03/2022 address 6	506608	SBO	11200	100	48	0	0	48
05/03/2022 address 6	508012	SBO	6000	100	5	0	0	5
05/03/2022 address 6	510088	SBO	2560	80	12	0	0	12
05/03/2022 address 6	511171	SRL	360	12	18	0	1	6
05/03/2022 address 6	513473	SBO	4800	200	5	0	0	5
05/03/2022 address 6	514902	SBO	14400	100	5	0	0	5
05/03/2022 address 6	518636	SBO	4000	100	24	0	0	24
05/03/2022 address 6	519111	SBO	40320	2240	40	0	0	40
05/03/2022 address 6	530184	SLP	20	0	25	1	0	5
05/03/2022 address 6	532173	SBO	880	10	1	0	0	1
05/03/2022 address 6	534278	SBO	3000	50	1	0	0	1
05/03/2022 address 2	506608	SBO	11200	100	324	0	3	24
05/03/2022 address 2	508012	SBO	6000	100	30	0	0	30
05/03/2022 address 2	510088	SBO	2560	80	80	0	1	0
05/03/2022 address 2	511171	SRL	360	12	116	0	9	8
05/03/2022 address 2	513473	SBO	4800	200	30	0	0	30
05/03/2022 address 2	514902	SBO	14400	100	30	0	0	30
05/03/2022 address 2	518636	SBO	4000	100	148	0	1	48
05/03/2022 address 2	519111	SBO	40320	2240	240	0	0	240
05/03/2022 address 2	531539	SBO	54000	300	1500	0	5	0
05/03/2022 address 2	531576	SBO	300	20	1	0	0	1
05/03/2022 address 2	531577	SBO	720	60	15	0	0	15
05/03/2022 address 2	531578	SBO	1120	10	15	0	1	5
05/03/2022 address 2	531702	SBO	450	15	15	0	1	0
05/03/2022 address 2	532173	SBO	880	10	24	0	2	4
05/03/2022 address 2	532458	SBO	4	0	3	0	0	3
05/03/2022 address 2	534278	SBO	3000	50	24	0	0	24
05/03/2022 address 2	544581	SLP	20	0	172	8	0	12
05/04/2022 address 8	506608	SBO	11200	100	28	0	0	28
05/04/2022 address 8	508012	SBO	6000	100	3	0	0	3
05/04/2022 address 8	510088	SBO	2560	80	8	0	0	8
05/04/2022 address 8	511171	SRL	360	12	10	0	0	10
05/04/2022 address 8	513473	SBO	4800	200	3	0	0	3
05/04/2022 address 8	514902	SBO	14400	100	3	0	0	3
05/04/2022 address 8	518636	SBO	4000	100	16	0	0	16
05/04/2022 address 8	519111	SBO	40320	2240	24	0	0	24
05/04/2022 address 8	532173	SBO	880	10	1	0	0	1
05/04/2022 address 8	534278	SBO	3000	50	1	0	0	1
05/04/2022 address 1	506608	SBO	11200	100	84	0	0	84
05/04/2022 address 1	508012	SBO	6000	100	7	0	0	7
